id;name;footage;capacity;av_support;food_allowed;color_code;description
1;mobile Fish;77969;59865;Table Computer;false;FTP Savings Account;deposit Tasty Metal Bacon Implementation
2;Chips;18340;61748;Home Loan Account;false;Home Namibia;Steel zero administration
3;Multi-channelled Licensed;61838;19967;Cambridgeshire Mississippi;false;Credit Card Account Table Small Frozen Sausages;South Dakota envisioneer Music
4;Nakfa;44015;68326;Investment Account;true;Salad;Digitized invoice
5;convergence;20794;54671;Chair Facilitator;true;Markets Chief;capacitor archive
6;sky blue Tasty Plastic Pizza;38867;74732;South Georgia and the South Sandwich Islands;true;Specialist Home Loan Account;Plastic
7;Car Industrial deliverables;39488;19871;Books;true;monitor;1080p Checking Account Identity
8;Frozen IB;62329;44945;Ergonomic;false;Lempira;pixel withdrawal
9;Mississippi embrace Developer;84891;76078;Idaho compress Avon;true;partnerships Grocery Intelligent;Dynamic
10;knowledge base Buckinghamshire;90756;13933;Investment Account;true;white Brand Money Market Account;Salad Web virtual
